"dis3l2GV_cKO_f3_10_ERCC_count.txt" "dis3l2GV_cKO_f3_11_ERCC_count.txt" "dis3l2GV_cKO_f3_12_ERCC_count.txt" "dis3l2GV_cKO_f3_13_ERCC_count.txt" "dis3l2GV_cKO_f3_14_ERCC_count.txt" "dis3l2GV_cKO_f3_9_ERCC_count.txt" "dis3l2GV_cKO_f4_17_ERCC_count.txt" "dis3l2GV_cKO_f4_18_ERCC_count.txt" "dis3l2GV_cKO_f4_19_ERCC_count.txt" "dis3l2GV_cKO_f4_20_ERCC_count.txt" "dis3l2GV_cKO_f4_23_ERCC_count.txt" "dis3l2GV_ctr_f1_1_ERCC_count.txt" "dis3l2GV_ctr_f1_2_ERCC_count.txt" "dis3l2GV_ctr_f1_3_ERCC_count.txt" "dis3l2GV_ctr_f1_4_ERCC_count.txt" "dis3l2GV_ctr_f2_6_ERCC_count.txt" "dis3l2GV_ctr_f2_7_ERCC_count.txt" "dis3l2GV_ctr_f2_8_ERCC_count.txt" "dis3l2MII_cKO_f7_33_ERCC_count.txt" "dis3l2MII_cKO_f7_34_ERCC_count.txt" "dis3l2MII_cKO_f7_37_ERCC_count.txt" "dis3l2MII_cKO_f8_38_ERCC_count.txt" "dis3l2MII_cKO_f8_39_ERCC_count.txt" "dis3l2MII_cKO_f8_40_ERCC_count.txt" "dis3l2MII_cKO_f9_44_ERCC_count.txt" "dis3l2MII_cKO_f9_45_ERCC_count.txt" "dis3l2MII_cKO_f9_46_ERCC_count.txt" "dis3l2MII_cKO_f9_47_ERCC_count.txt" "dis3l2MII_ctr_f5_25_ERCC_count.txt" "dis3l2MII_ctr_f5_26_ERCC_count.txt" "dis3l2MII_ctr_f5_27_ERCC_count.txt" "dis3l2MII_ctr_f5_28_ERCC_count.txt" "dis3l2MII_ctr_f6_29_ERCC_count.txt" "dis3l2MII_ctr_f6_30_ERCC_count.txt" "dis3l2MII_ctr_f6_31_ERCC_count.txt" "dis3l2MII_ctr_f6_32_ERCC_count.txt"
"ERCC-00002" 15146 6188 2838 3373 5541 9392 4153 4516 5839 2302 2737 7127 5727 2586 1734 2993 1517 2175 14533 3963 21836 62132 16055 31116 39312 29727 14058 24699 46090 47537 24069 20216 53878 4662 53464 52478
"ERCC-00003" 540 174 89 38 181 199 170 157 242 43 45 146 114 121 55 139 49 43 500 93 442 2265 602 965 1365 1093 316 550 2062 1471 1254 407 2592 189 1237 1735
"ERCC-00004" 2457 690 597 767 1157 946 812 1084 1330 424 369 539 462 541 302 618 234 254 1714 636 1563 8427 2827 2379 4778 3149 1826 2398 11105 5662 7191 2883 12555 928 4250 8387
"ERCC-00009" 545 148 57 109 218 223 127 217 170 85 80 257 106 81 51 82 42 76 287 96 400 2113 291 520 1389 1005 225 607 1637 928 599 363 1626 92 1730 1927
"ERCC-00012" 128 159 110 77 105 178 122 100 134 76 72 138 131 134 110 139 122 108 124 71 104 107 87 111 102 83 82 104 131 142 127 126 119 21 60 70
"ERCC-00013" 22 9 11 10 11 11 7 7 14 13 9 11 11 15 10 10 6 4 12 3 5 9 8 5 13 7 15 9 28 14 35 8 19 5 11 5
"ERCC-00014" 8 8 13 8 8 17 18 4 6 8 6 9 6 10 2 2 15 7 3 5 3 14 14 9 33 9 9 50 26 19 7 12 11 3 8 25
"ERCC-00016" 5 14 4 7 8 13 8 9 5 3 5 8 3 5 8 3 3 3 1 7 6 4 2 4 8 5 6 15 6 8 4 9 10 2 5 3
"ERCC-00017" 3 14 4 0 5 17 5 4 5 3 1 6 8 5 4 3 4 2 3 4 4 7 5 5 4 3 2 3 2 3 2 4 6 1 4 5
"ERCC-00019" 35 10 12 11 13 19 11 20 19 8 10 15 9 13 14 19 7 11 13 11 31 79 25 27 62 39 30 34 105 32 54 28 112 13 56 87
"ERCC-00022" 176 98 64 51 106 143 67 76 98 70 55 91 75 43 46 45 30 26 192 41 260 659 177 393 409 329 193 263 403 604 316 270 691 56 754 590
