"dis3l2_yg_cKO_1_1_S11_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_1_2_S14_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_1_3_S9_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_1_4_S12_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_1_S15_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_2_S10_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_3_S13_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_4_S16_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_1_S6_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_2_S1_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_3_S4_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_4_S7_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_1_S2_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_2_S5_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_3_S8_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_4_S3_L001_R1_001_cutadaptAligned_genes_yes.txt"
"ENSMUSG00000000001" 2478 2303 2595 2231 2552 2374 2110 2195 3393 2536 3599 3484 4562 4143 3451 3136
"ENSMUSG00000000003" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000000028" 1084 1387 1404 1379 1439 1405 1212 1300 1640 1627 1827 2041 2420 1643 1622 1474
"ENSMUSG00000000031" 0 1 2 0 0 0 0 0 0 0 0 14 0 0 0 0
"ENSMUSG00000000037" 3802 3788 4173 2776 3447 3901 4046 3512 6034 6516 8193 8679 10695 7829 7447 5477
"ENSMUSG00000000049" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5
"ENSMUSG00000000056" 497 822 734 560 693 549 487 569 728 479 514 782 734 324 476 664
"ENSMUSG00000000058" 3 0 1 0 0 2 0 1 0 0 0 1 1 0 0 1
"ENSMUSG00000000078" 195 462 414 376 343 179 282 386 31 15 1 23 87 109 57 41
"ENSMUSG00000000085" 3357 3493 5022 3743 4837 5040 4774 4405 2938 2348 2745 2993 3771 2640 3279 2973
"ENSMUSG00000000088" 634 650 807 656 686 680 629 613 1261 1165 1407 1367 1939 1758 1443 1062
"ENSMUSG00000000093" 0 2 4 0 2 0 0 5 1 0 0 0 3 0 8 0
"ENSMUSG00000000094" 4615 4177 4570 5329 5146 5275 4533 3728 5587 4687 4805 6444 8529 6550 7140 4705
"ENSMUSG00000000103" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
