,record_id,gene_id,gene_name
0,m54313U_201124_160408/752/ccs,ENSMUSG00000029313,Aff1
1,m54313U_201124_160408/1156/ccs,NA,NA
2,m54313U_201124_160408/2776/ccs,NA,NA
3,m54313U_201124_160408/66917/ccs,ENSMUSG00000030082,Sec61a1
4,m54313U_201124_160408/68419/ccs,ENSMUSG00000033847,Pla2g4c
5,m54313U_201124_160408/131088/ccs,ENSMUSG00000056050,Mia3
6,m54313U_201124_160408/263524/ccs,NA,NA
7,m54313U_201124_160408/264033/ccs,NA,NA
8,m54313U_201124_160408/264172/ccs,NA,NA
9,m54313U_201124_160408/328355/ccs,ENSMUSG00000022307,Oxr1
10,m54313U_201124_160408/328597/ccs,NA,NA
11,m54313U_201124_160408/330530/ccs,NA,NA
12,m54313U_201124_160408/394330/ccs,ENSMUSG00000037885,Stk35
13,m54313U_201124_160408/395344/ccs,ENSMUSG00000027641,Rbl1
14,m54313U_201124_160408/460993/ccs,NA,NA
15,m54313U_201124_160408/525234/ccs,ENSMUSG00000041046,Ramp3
16,m54313U_201124_160408/590670/ccs,ENSMUSG00000031633,Slc25a4
17,m54313U_201124_160408/656503/ccs,ENSMUSG00000033751,Gadd45gip1
18,m54313U_201124_160408/657321/ccs,ENSMUSG00000031955,Bcar1
19,m54313U_201124_160408/723653/ccs,ENSMUSG00000031532,Saraf
20,m54313U_201124_160408/854084/ccs,ENSMUSG00000104572,Fbxw23
21,m54313U_201124_160408/918098/ccs,ENSMUSG00000037313,Tacc3
22,m54313U_201124_160408/919170/ccs,NA,NA
23,m54313U_201124_160408/920228/ccs,ENSMUSG00000038379,Ttk
24,m54313U_201124_160408/1115006/ccs,NA,NA
25,m54313U_201124_160408/1312402/ccs,ENSMUSG00000091594,Gm17067
26,m54313U_201124_160408/1378994/ccs,ENSMUSG00000036309,Skp1a
27,m54313U_201124_160408/1509691/ccs,NA,NA
28,m54313U_201124_160408/1640756/ccs,NA,NA
29,m54313U_201124_160408/1640781/ccs,ENSMUSG00000105674,Gm42437
30,m54313U_201124_160408/1770734/ccs,ENSMUSG00000037242,Clic4
31,m54313U_201124_160408/1772185/ccs,NA,NA
32,m54313U_201124_160408/1835218/ccs,NA,NA
33,m54313U_201124_160408/1835489/ccs,NA,NA
34,m54313U_201124_160408/1837210/ccs,ENSMUSG00000053153,Spag16
35,m54313U_201124_160408/1902148/ccs,NA,NA
36,m54313U_201124_160408/1966984/ccs,ENSMUSG00000070319,Eif3g
37,m54313U_201124_160408/1968239/ccs,ENSMUSG00000019505,Ubb
38,m54313U_201124_160408/2033894/ccs,ENSMUSG00000018238,Gdf9
39,m54313U_201124_160408/2097712/ccs,ENSMUSG00000034450,Gulo
40,m54313U_201124_160408/2165558/ccs,NA,NA
41,m54313U_201124_160408/2228912/ccs,ENSMUSG00000025527,Satl1
42,m54313U_201124_160408/2294012/ccs,NA,NA
43,m54313U_201124_160408/2294650/ccs,ENSMUSG00000027371,Fahd2a
44,m54313U_201124_160408/2360505/ccs,ENSMUSG00000020707,Rnf135
45,m54313U_201124_160408/2426352/ccs,ENSMUSG00000043702,Pde12
46,m54313U_201124_160408/2491509/ccs,ENSMUSG00000021270,Hsp90aa1
47,m54313U_201124_160408/2492255/ccs,ENSMUSG00000025105,Bnc1
48,m54313U_201124_160408/2557816/ccs,NA,NA
49,m54313U_201124_160408/2621705/ccs,NA,NA
50,m54313U_201124_160408/2622485/ccs,NA,NA
51,m54313U_201124_160408/2622723/ccs,ENSMUSG00000032191,Bcl2l10
52,m54313U_201124_160408/2688488/ccs,ENSMUSG00000030246,Ldhb
53,m54313U_201124_160408/2752884/ccs,ENSMUSG00000026568,Mpc2
54,m54313U_201124_160408/2752907/ccs,NA,NA
55,m54313U_201124_160408/2753393/ccs,ENSMUSG00000030042,Pole4
56,m54313U_201124_160408/2818607/ccs,ENSMUSG00000025265,Fgd1
57,m54313U_201124_160408/2818846/ccs,ENSMUSG00000022205,Sub1
58,m54313U_201124_160408/2820611/ccs,NA,NA
59,m54313U_201124_160408/2949604/ccs,NA,NA
60,m54313U_201124_160408/2950656/ccs,NA,NA
61,m54313U_201124_160408/3016195/ccs,ENSMUSG00000021290,Atp5mpl
62,m54313U_201124_160408/3017506/ccs,NA,NA
63,m54313U_201124_160408/3081064/ccs,NA,NA
64,m54313U_201124_160408/3081095/ccs,ENSMUSG00000029455,Aldh2
65,m54313U_201124_160408/3082978/ccs,ENSMUSG00000020607,Lratd1
66,m54313U_201124_160408/3147456/ccs,NA,NA
67,m54313U_201124_160408/3147509/ccs,ENSMUSG00000025726,Slc28a1
68,m54313U_201124_160408/3148351/ccs,ENSMUSG00000001924,Uba1
69,m54313U_201124_160408/3148578/ccs,ENSMUSG00000027620,Rbm39
70,m54313U_201124_160408/3213253/ccs,ENSMUSG00000021615,Xrcc4
71,m54313U_201124_160408/3278337/ccs,ENSMUSG00000001687,Ubl3
72,m54313U_201124_160408/3343052/ccs,NA,NA
73,m54313U_201124_160408/3410383/ccs,NA,NA
74,m54313U_201124_160408/3410773/ccs,NA,NA
75,m54313U_201124_160408/3999026/ccs,NA,NA
76,m54313U_201124_160408/3999992/ccs,NA,NA
77,m54313U_201124_160408/4063682/ccs,NA,NA
78,m54313U_201124_160408/4064598/ccs,NA,NA
79,m54313U_201124_160408/4065552/ccs,NA,NA
80,m54313U_201124_160408/4129112/ccs,NA,NA
81,m54313U_201124_160408/4194415/ccs,NA,NA
82,m54313U_201124_160408/4196511/ccs,NA,NA
83,m54313U_201124_160408/4259895/ccs,ENSMUSG00000030246,Ldhb
84,m54313U_201124_160408/4326947/ccs,NA,NA
85,m54313U_201124_160408/4327206/ccs,ENSMUSG00000020134,Peli1
86,m54313U_201124_160408/4391645/ccs,ENSMUSG00000021395,Spin1
87,m54313U_201124_160408/4393492/ccs,ENSMUSG00000035191,Rfpl4
88,m54313U_201124_160408/4457299/ccs,ENSMUSG00000026083,Eif5b
89,m54313U_201124_160408/4522678/ccs,ENSMUSG00000037750,Fam222b
90,m54313U_201124_160408/4655506/ccs,ENSMUSG00000021670,Hmgcr
91,m54313U_201124_160408/4785095/ccs,ENSMUSG00000075023,Accsl
92,m54313U_201124_160408/4785670/ccs,ENSMUSG00000037617,Spag1
93,m54313U_201124_160408/4785969/ccs,ENSMUSG00000075703,Selenoi
94,m54313U_201124_160408/4785984/ccs,ENSMUSG00000014503,Pkd2l2
95,m54313U_201124_160408/4851300/ccs,ENSMUSG00000017716,Birc5
96,m54313U_201124_160408/4851478/ccs,ENSMUSG00000034883,Lrr1
97,m54313U_201124_160408/4852232/ccs,ENSMUSG00000032623,Oas1d
98,m54313U_201124_160408/4981618/ccs,NA,NA
99,m54313U_201124_160408/4982361/ccs,ENSMUSG00000030042,Pole4
100,m54313U_201124_160408/4982659/ccs,ENSMUSG00000062580,Timm17a
101,m54313U_201124_160408/5114287/ccs,ENSMUSG00000032185,Carm1
102,m54313U_201124_160408/5308753/ccs,NA,NA
103,m54313U_201124_160408/5310864/ccs,NA,NA
104,m54313U_201124_160408/5374029/ccs,ENSMUSG00000027340,Slc23a2
105,m54313U_201124_160408/5376350/ccs,ENSMUSG00000113336,Gm16497
106,m54313U_201124_160408/5505142/ccs,NA,NA
107,m54313U_201124_160408/5507676/ccs,NA,NA
108,m54313U_201124_160408/5507862/ccs,ENSMUSG00000035093,Secisbp2l
109,m54313U_201124_160408/5507924/ccs,ENSMUSG00000023074,Mospd1
110,m54313U_201124_160408/5637632/ccs,ENSMUSG00000037316,Bag4
