,record_id,gene_id,gene_name
0,m54313U_200903_184952/67411/ccs,ENSMUSG00000024566,Atp9b
1,m54313U_200903_184952/329695/ccs,NA,NA
2,m54313U_200903_184952/459383/ccs,ENSMUSG00000028124,Gclm
3,m54313U_200903_184952/1968401/ccs,ENSMUSG00000025857,Dnaaf5
4,m54313U_200903_184952/2295785/ccs,ENSMUSG00000028847,Trappc3
5,m54313U_200903_184952/3867308/ccs,NA,NA
6,m54313U_200903_184952/4391280/ccs,ENSMUSG00000028032,Papss1
7,m54313U_200903_184952/4915696/ccs,ENSMUSG00000044285,Ubb-ps
8,m54313U_200903_184952/26151361/ccs,ENSMUSG00000094870,Zfp131
9,m54313U_200903_184952/27985119/ccs,ENSMUSG00000031171,Ftsj1
10,m54313U_200903_184952/28049435/ccs,ENSMUSG00000030138,Bms1
11,m54313U_200903_184952/28180912/ccs,ENSMUSG00000037197,Rbm17
12,m54313U_200903_184952/29427361/ccs,ENSMUSG00000038393,Txnip
13,m54313U_200903_184952/29557898/ccs,ENSMUSG00000040270,Bach2
14,m54313U_200903_184952/29623929/ccs,ENSMUSG00000044927,H1f10
15,m54313U_200903_184952/29688129/ccs,ENSMUSG00000027245,Hypk
16,m54313U_200903_184952/29756092/ccs,ENSMUSG00000007670,Khsrp
17,m54313U_200903_184952/29819321/ccs,NA,NA
18,m54313U_200903_184952/30214466/ccs,ENSMUSG00000055789,Ftdc2
19,m54313U_200903_184952/30998957/ccs,NA,NA
20,m54313U_200903_184952/33816859/ccs,NA,NA
21,m54313U_200903_184952/33818901/ccs,NA,NA
22,m54313U_200903_184952/36309804/ccs,NA,NA
23,m54313U_200903_184952/37225578/ccs,NA,NA
24,m54313U_200903_184952/37554244/ccs,ENSMUSG00000026554,Dcaf8
25,m54313U_200903_184952/37685367/ccs,NA,NA
26,m54313U_200903_184952/38274986/ccs,NA,NA
27,m54313U_200903_184952/39847257/ccs,ENSMUSG00000057841,Rpl32
28,m54313U_200903_184952/39913192/ccs,ENSMUSG00000021460,Auh
29,m54313U_200903_184952/40699038/ccs,ENSMUSG00000056091,St3gal5
30,m54313U_200903_184952/41028404/ccs,NA,NA
31,m54313U_200903_184952/41616176/ccs,NA,NA
32,m54313U_200903_184952/41681418/ccs,NA,NA
33,m54313U_200903_184952/43517491/ccs,ENSMUSG00000030619,Eed
34,m54313U_200903_184952/43714478/ccs,ENSMUSG00000042453,Reln
35,m54313U_200903_184952/43780354/ccs,ENSMUSG00000050810,Oog3
36,m54313U_200903_184952/43843709/ccs,NA,NA
37,m54313U_200903_184952/44369317/ccs,NA,NA
38,m54313U_200903_184952/46140173/ccs,ENSMUSG00000038963,Slco4a1
