,record_id,gene_id,gene_name
0,m54313U_201114_190654/840/ccs,ENSMUSG00000031756,Cenpn
1,m54313U_201114_190654/842/ccs,ENSMUSG00000059534,Uqcr10
2,m54313U_201114_190654/1110/ccs,ENSMUSG00000001445,Mrpl10
3,m54313U_201114_190654/1454/ccs,ENSMUSG00000051579,Tceal8
4,m54313U_201114_190654/1622/ccs,NA,NA
5,m54313U_201114_190654/2267/ccs,ENSMUSG00000055531,Cpsf6
6,m54313U_201114_190654/2508/ccs,ENSMUSG00000006498,Ptbp1
7,m54313U_201114_190654/2529/ccs,ENSMUSG00000092622,Khdc3
8,m54313U_201114_190654/2571/ccs,ENSMUSG00000020454,Eif4enif1
9,m54313U_201114_190654/2712/ccs,ENSMUSG00000017421,Zfp207
10,m54313U_201114_190654/65644/ccs,ENSMUSG00000036432,Siah2
11,m54313U_201114_190654/65755/ccs,ENSMUSG00000053007,Creb5
12,m54313U_201114_190654/65971/ccs,ENSMUSG00000024122,Pdpk1
13,m54313U_201114_190654/66024/ccs,NA,NA
14,m54313U_201114_190654/66045/ccs,ENSMUSG00000005102,Eif2ak4
15,m54313U_201114_190654/66108/ccs,ENSMUSG00000028345,Tex10
16,m54313U_201114_190654/66268/ccs,ENSMUSG00000028821,Syf2
17,m54313U_201114_190654/66458/ccs,NA,NA
18,m54313U_201114_190654/66868/ccs,ENSMUSG00000068823,Csde1
19,m54313U_201114_190654/66937/ccs,ENSMUSG00000068882,Ssb
20,m54313U_201114_190654/66943/ccs,ENSMUSG00000024958,Gpr137
21,m54313U_201114_190654/67411/ccs,ENSMUSG00000066979,Bub3
22,m54313U_201114_190654/67500/ccs,NA,NA
23,m54313U_201114_190654/67587/ccs,ENSMUSG00000020290,Xpo1
24,m54313U_201114_190654/67878/ccs,ENSMUSG00000002222,Rmnd5a
25,m54313U_201114_190654/68183/ccs,NA,NA
26,m54313U_201114_190654/68210/ccs,ENSMUSG00000006586,Runx1t1
27,m54313U_201114_190654/131199/ccs,ENSMUSG00000021807,Rtraf
28,m54313U_201114_190654/131207/ccs,ENSMUSG00000034087,Nlrp4b
29,m54313U_201114_190654/131423/ccs,ENSMUSG00000021395,Spin1
30,m54313U_201114_190654/131423/ccs,NA,NA
31,m54313U_201114_190654/131423/ccs,NA,NA
32,m54313U_201114_190654/131519/ccs,NA,NA
33,m54313U_201114_190654/131586/ccs,ENSMUSG00000050812,Ecpas
34,m54313U_201114_190654/131640/ccs,ENSMUSG00000016664,Pacsin2
35,m54313U_201114_190654/132318/ccs,ENSMUSG00000039220,Ppp1r10
36,m54313U_201114_190654/132333/ccs,ENSMUSG00000026766,Mmadhc
37,m54313U_201114_190654/132409/ccs,NA,NA
38,m54313U_201114_190654/133224/ccs,NA,NA
39,m54313U_201114_190654/133422/ccs,ENSMUSG00000099207,Gm10637
40,m54313U_201114_190654/133571/ccs,NA,NA
41,m54313U_201114_190654/133712/ccs,NA,NA
42,m54313U_201114_190654/133879/ccs,ENSMUSG00000064284,Cdpf1
43,m54313U_201114_190654/197150/ccs,ENSMUSG00000057113,Npm1
44,m54313U_201114_190654/197254/ccs,ENSMUSG00000100862,Gm10925
45,m54313U_201114_190654/197349/ccs,NA,NA
46,m54313U_201114_190654/197419/ccs,ENSMUSG00000026429,Ube2t
47,m54313U_201114_190654/197420/ccs,ENSMUSG00000047547,Cltb
48,m54313U_201114_190654/197802/ccs,ENSMUSG00000040681,Hmgn1
49,m54313U_201114_190654/198204/ccs,NA,NA
50,m54313U_201114_190654/198437/ccs,ENSMUSG00000050471,Fam118b
51,m54313U_201114_190654/198572/ccs,ENSMUSG00000055789,Ftdc2
52,m54313U_201114_190654/198676/ccs,ENSMUSG00000053702,Nebl
53,m54313U_201114_190654/199104/ccs,NA,NA
