,record_id,gene_id,gene_name
0,m54313U_200903_184952/2882/ccs,ENSMUSG00000034024,Cct2
1,m54313U_200903_184952/133727/ccs,ENSMUSG00000041359,Tcl1
2,m54313U_200903_184952/264086/ccs,ENSMUSG00000046792,Zfp787
3,m54313U_200903_184952/524500/ccs,ENSMUSG00000025464,Paox
4,m54313U_200903_184952/721286/ccs,ENSMUSG00000040048,Ndufb10
5,m54313U_200903_184952/1048760/ccs,NA,NA
6,m54313U_200903_184952/1770749/ccs,ENSMUSG00000020549,Elac2
7,m54313U_200903_184952/2490617/ccs,NA,NA
8,m54313U_200903_184952/2688210/ccs,NA,NA
9,m54313U_200903_184952/3015819/ccs,ENSMUSG00000044894,Uqcrq
10,m54313U_200903_184952/3475669/ccs,ENSMUSG00000031231,Cox7b
11,m54313U_200903_184952/3540368/ccs,NA,NA
12,m54313U_200903_184952/3671971/ccs,ENSMUSG00000045291,E330021D16Rik
13,m54313U_200903_184952/4131400/ccs,NA,NA
14,m54313U_200903_184952/4131572/ccs,ENSMUSG00000022110,Sucla2
15,m54313U_200903_184952/4458586/ccs,NA,NA
16,m54313U_200903_184952/5178207/ccs,ENSMUSG00000029177,Cenpa
17,m54313U_200903_184952/26019815/ccs,NA,NA
18,m54313U_200903_184952/26608225/ccs,NA,NA
19,m54313U_200903_184952/26608509/ccs,ENSMUSG00000030738,Eif3c
20,m54313U_200903_184952/26675807/ccs,ENSMUSG00000116590,AC154200.1
21,m54313U_200903_184952/27134585/ccs,ENSMUSG00000022791,Tnk2
22,m54313U_200903_184952/27789089/ccs,ENSMUSG00000047187,Rab2a
23,m54313U_200903_184952/27855024/ccs,ENSMUSG00000018347,Zkscan6
24,m54313U_200903_184952/28052011/ccs,NA,NA
25,m54313U_200903_184952/28182361/ccs,ENSMUSG00000029699,Ssc4d
26,m54313U_200903_184952/28311757/ccs,ENSMUSG00000013275,Slc41a1
27,m54313U_200903_184952/28377707/ccs,NA,NA
28,m54313U_200903_184952/29100246/ccs,ENSMUSG00000090891,D6Ertd527e
29,m54313U_200903_184952/29164911/ccs,ENSMUSG00000028862,Map3k6
30,m54313U_200903_184952/29362203/ccs,ENSMUSG00000042198,Chchd7
31,m54313U_200903_184952/29559378/ccs,ENSMUSG00000063171,Rps4l
32,m54313U_200903_184952/30540050/ccs,ENSMUSG00000054134,Umodl1
33,m54313U_200903_184952/30540446/ccs,ENSMUSG00000030243,Recql
34,m54313U_200903_184952/30802644/ccs,ENSMUSG00000055817,Mta3
35,m54313U_200903_184952/31327321/ccs,ENSMUSG00000059070,Rpl18
36,m54313U_200903_184952/31524757/ccs,ENSMUSG00000017307,Acot8
37,m54313U_200903_184952/31852888/ccs,ENSMUSG00000038690,Atp5j2
38,m54313U_200903_184952/32573107/ccs,ENSMUSG00000106015,Gm42980
39,m54313U_200903_184952/34080845/ccs,ENSMUSG00000037072,Selenof
40,m54313U_200903_184952/34343180/ccs,ENSMUSG00000034620,Rxylt1
41,m54313U_200903_184952/34801494/ccs,ENSMUSG00000033952,Aspm
42,m54313U_200903_184952/35588071/ccs,ENSMUSG00000095463,Entpd4
43,m54313U_200903_184952/35588421/ccs,ENSMUSG00000021496,Pcbd2
44,m54313U_200903_184952/35850636/ccs,ENSMUSG00000038507,Parp12
45,m54313U_200903_184952/36440221/ccs,ENSMUSG00000020755,Sap30bp
